education,experience,gender,salary
0.35000000000000003,0.44,1,0.6471049501016077
0.6000000000000001,0.2,0,0.6471046354815327
0.5,0.6,0,0.0
0.55,0.36,0,0.6471044990934959
0.25,0.56,0,0.6471063369328215
0.6000000000000001,0.4,1,0.9457635107139715
0.05,0.12,1,0.606056302575618
0.8,0.96,0,0.9750945949558234
0.7000000000000001,0.56,1,0.9608745911714116
0.05,0.28,1,0.6060563025756198
0.1,0.92,0,0.6471065313033038
0.9,0.96,0,0.9882236271712583
0.35000000000000003,0.44,0,0.6471049501016077
0.8,0.44,0,0.9443506743057556
0.5,0.8,1,0.0
0.6000000000000001,0.88,1,0.9457635107139715
0.55,0.64,1,0.937920102328195
0.45,0.56,1,0.6471044990934959
0.5,0.04,0,0.0
0.9,0.04,1,0.6471065313033038
0.9,0.36,1,0.9681074910226073
0.75,0.8,0,0.9681074910226073
0.1,0.6,0,0.6471063412462122
0.5,0.72,0,0.0
0.6000000000000001,0.52,0,0.9457635107139715
0.6000000000000001,0.44,1,0.9443506743057556
0.6000000000000001,0.68,1,0.9457635107139715
0.9500000000000001,0.24,1,0.9850566333708581
0.9,0.08,1,0.6471068021349891
0.35000000000000003,0.12,0,0.6060563025755983
0.7000000000000001,0.88,0,0.9608745911714116
0.30000000000000004,0.4,0,0.6060563025756095
0.5,0.52,0,0.0
0.1,0.92,1,0.6471065313033038
0.2,0.0,0,0.6060563025755982
0.2,0.6,0,0.6471063412462122
0.15000000000000002,0.64,1,0.6471065991907738
0.8500000000000001,0.48,1,0.9513507755328183
0.65,0.36,0,0.6471068658600915
0.9500000000000001,0.76,1,0.9943004465765346
0.35000000000000003,0.76,1,0.6471068658600915
0.05,0.08,0,0.6060563025755982
0.1,0.88,1,0.6471065313033038
0.9,0.84,1,0.9882236271712583
0.1,0.92,0,0.6471065313033038
0.0,0.64,0,0.6471065991907738
0.8500000000000001,0.12,0,0.6471063723288156
1.0,0.12,1,0.6471063723288156
0.4,0.56,1,0.6471046354815327
1.0,0.48,0,0.9513507755328183
0.6000000000000001,0.0,0,0.6471046354815327
0.75,0.76,0,0.9681074910226073
0.1,0.16,1,0.6060563025756095
0.4,0.8,0,0.6471046354815327
0.5,0.56,0,0.0
0.65,0.96,1,0.9534203181728427
0.9500000000000001,0.44,1,0.9443506743057556
0.5,0.32,0,0.0
0.2,0.92,1,0.6471068021349891
0.55,0.56,1,0.937920102328195
1.0,0.0,0,0.6471066570586913
0.7000000000000001,0.76,0,0.9608745911714116
0.75,0.68,1,0.9681074910226073
